CSRankings category,Conference,Year,Paper title,Category 1: Mean or median values,"Category 2: Confidence (e.g., confidence intervals) or variability (e.g., standard deviation, coefficient of variance, or percentiles)",Category 3: The number of times that an experiment was repeated
Machine Learning,NeurIPS,2022,A Mean-Field Game Approach to Cloud Resource Management with Function Approximation,,99th-percentile,
The Web & information retrieval ,WWW,2022,Accelerating serverless computing by harvesting idle resources,,99th-percentile,
,WWW,2021,CoResident Evil: covert communication in the cloud with Lambdas,,,
,WWW,2020,Valve: Securing Function Workflows on Serverless Computing Platforms,average,,50
Computer architecture,ASPLOS,2023,DataFlower: Exploiting the Data-flow Paradigm for Serverless Workflow Orchestration,average,99th-percentile,
,ASPLOS,2023,𝜆FS: A Scalable and Elastic Distributed File System Metadata Service using Serverless Functions,average,,
,ASPLOS,2023,Aquatope: Qos-and-Uncertainty-Aware Resource Management for Multi-Stage Serverless Workflows,average,95% confidence interval,30（account for system noise）
,ASPLOS,2023,BeeHive: Sub-Second Elasticity for Web Services with Semi-FaaS Execution,average,"90th-percentile
99th-percentile",
,ASPLOS,2023,Flame: A Centralized Cache Controller for Serverless Computing,average,99th-percentile,
,ASPLOS,2022,Serverless computing on heterogeneous computers,,,
,ASPLOS,2022,IceBreaker: warming serverless functions better with heterogeneity,,,
,ASPLOS,2022,"INFless: a native serverless system for low-latency, high-throughput inference",,,
,ASPLOS,2022,FaaSFlow: enable efficient workflow execution for function-as-a-service,average,99th-percentile,1000（To avoid randomness）
,ASPLOS,2021,FaasCache: keeping serverless computing alive with greedy-dual caching,,,
,ASPLOS,2021,"Nightcore: efficient and scalable serverless computing for latency-sensitive, interactive microservices",median,99th-percentile,
,ASPLOS,2021,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots",average,,20
,ASPLOS,2020,Catalyzer: Sub-millisecond Startup for Serverless Computing with Initialization-less Booting,,,
,ISCA,2023,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,average,99th-percentile,
,ISCA,2022,HiveMind: a hardware-software system stack for serverless edge swarms,average/median,99th-percentile,10/50
,ISCA,2022,Lukewarm serverless functions: characterization and optimization,average,,20
,ISCA,2021,Confidential Serverless Made Efficient with Plug-In Enclaves,average,,"1000（To best eliminate measurement
errors）"
,MICRO,2023,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,average,,10
,MICRO,2023,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",average,,
,MICRO,2023,Warming Up a Cold Front-End with Ignite,average,,
,MICRO,2019,Architectural Implications of Function-as-a-Service Computing,,,
,HPCA,2023,SpecFaas: Accelerating Serverless Applications with Speculative Function Execution,average,99th-percentile,
Computer networks,SIGCOMM,2023,Ditto: Efficient Serverless Analytics with Elastic Parallelism,average,,
,SIGCOMM,2022,"SPRIGHT: extracting the server from serverless computing! high-performance eBPF-based event-driven, shared-memory processing",,,
,NSDI,2023,Doing More with Less: Orchestrating Serverless Applications without an Orchestrator,,"50th-percentile
90th-percentile",
,NSDI,2023,"Following the Data, Not the Function:
Rethinking Function Orchestration in Serverless Computing",average,,10
,NSDI,2021,Caerus: NIMBLE Task Scheduling for Serverless Analytics,,,
,NSDI,2019,"Shuffling, Fast and Slow: Scalable Analytics on Serverless Infrastructure",average,,
,NSDI,2017,"Encoding, fast and slow: Low-latency video processing using thousands of tiny threads",,,
Computer security,CCS,2022,Gringotts: Fast and Accurate Internal Denial-of-Wallet Detection for Serverless Computing,average,,
,USENIX Security,2023,Reusable Enclaves for Confidential Serverless Computing,average,,
,USENIX Security,2023,Guarding Serverless Applications with Kalium,average,,100
,USENIX Security,2022,ALASTOR: Reconstructing the Provenance of Serverless Intrusions,average,,500
Databases,SIGMOD,2022,Serverless Data Science - Are We There Yet? A Case Study of Model Serving,average,,
,SIGMOD,2021,Towards Demystifying Serverless Machine Learning Training,,,
,SIGMOD,2020,Lambada: Interactive Data Analytics on Cold Data Using Serverless Cloud Infrastructure,median,,3（we observed little variation across data centers in the experiments）
,SIGMOD,2020,Transactional Causal Consistency for Serverless Computing,median,99th-percentile,
,SIGMOD,2020,Starling: A Scalable Query Engine on Cloud Functions,median,,3
,VLDB,2022,Optimizing Inference Serving on Serverless Platforms,,,
,VLDB,2022,Netherite: Efficient Execution of Serverless Workflows,,,
,VLDB,2020,Cloudburst: Stateful Functions-as-a-Service,median,99th-percentile,1000
High-performance computing,HPDC,2023,Ilúvatar: A Fast Control Plane for Serverless Computing,average,"50-th percentile
99-th percentile",
,HPDC,2023,ProPack: Executing Concurrent Serverless Functions Faster and Cheaper,average/median,95th-percentile,
