Func_ID,Function Name,Event Input,Serverless Platform,Language,Timeout (second),Memory (MB),Original Code Link,Benchmark,specific functionality,Correspond to Paper_titile,,,,,,,
Func1,adv_aws_rdrand,{},AWS Lambda,Python,10,128,https://github.com/anilkyelam/columbus/blob/master/archive/functions/adv_aws_rdrand.py,,,CoResident Evil: Covert Communication In The Cloud With Lambdas,,,,,,,
Func2,adv_gcp_rdrand_fun2,{},Google Cloud Functions,Python,60,256,https://github.com/anilkyelam/columbus/blob/master/archive/functions/adv_gcp_rdrand.py,,,CoResident Evil: Covert Communication In The Cloud With Lambdas,,,,,,,
Func3,params_aws,{},AWS Lambda,Python,3,128,https://github.com/anilkyelam/columbus/blob/master/archive/functions/params_aws.py,,,CoResident Evil: Covert Communication In The Cloud With Lambdas,,,,,,,
Func4,params_gcp,{},Google Cloud Functions,Python,60,256,https://github.com/anilkyelam/columbus/blob/master/archive/functions/params_gcp.py,,,CoResident Evil: Covert Communication In The Cloud With Lambdas,,,,,,,
Func5,Fun5-dev-imageProssFun,"{""input_bucket"":""bucketwendycyn"", ""object_key"":""1.jpeg"",""output_bucket"":""bucketwendycyn1""}",AWS Lambda,Python,10,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/cpu-memory/image_processing,FunctionBench,Image processing,Serverless computing on heterogeneous computers,"Understanding, predicting and scheduling serverless workloads under partial interference",Faster and Cheaper Serverless Computing on Harvested Resources,FaaSnap: FaaS made fast using snapshot-based VMs,Memory deduplication for serverless computing with Medes,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",UnFaaSener: Latency and Cost Aware Offloading of Functions from Serverless Platforms
Func6,Fun6-dev-chameleonFun,"{""num_of_rows"": 2,""num_of_cols"": 3}",AWS Lambda,Python,3,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/cpu-memory/chameleon,FunctionBench,Chameleon,Serverless computing on heterogeneous computers,FaaSnap: FaaS made fast using snapshot-based VMs,Faster and Cheaper Serverless Computing on Harvested Resources,Memory deduplication for serverless computing with Medes,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",Ilúvatar: A Fast Control Plane for Serverless Computing,,
Func7,Fun7-dev-linpackFun,{"n": 20},AWS Lambda,Python,3,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/cpu-memory/linpack,FunctionBench,Linkpack,Serverless computing on heterogeneous computers,"Understanding, predicting and scheduling serverless workloads under partial interference",Faster and Cheaper Serverless Computing on Harvested Resources,Memory deduplication for serverless computing with Medes,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",Ilúvatar: A Fast Control Plane for Serverless Computing,,
Func8,Fun8-dev-matmulFun,{"n": 20},AWS Lambda,Python,3,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/cpu-memory/matmul,FunctionBench,Matmul,Serverless computing on heterogeneous computers,"Understanding, predicting and scheduling serverless workloads under partial interference",Faster and Cheaper Serverless Computing on Harvested Resources,FaaSnap: FaaS made fast using snapshot-based VMs,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",,,
Func9,Fun9-dev-pyaesFun,"{""length_of_message"": 300, ""num_of_iterations"": 20}",AWS Lambda,Python,3,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/cpu-memory/pyaes,FunctionBench,PyAES,Serverless computing on heterogeneous computers,Faster and Cheaper Serverless Computing on Harvested Resources,FaaSnap: FaaS made fast using snapshot-based VMs,Memory deduplication for serverless computing with Medes,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",Ilúvatar: A Fast Control Plane for Serverless Computing,
Func10,Fun10dd,"{""bs"":""5120"",""count"":""5""}",AWS Lambda,Python,3,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/disk/dd,FunctionBench,DD,Serverless computing on heterogeneous computers,"Understanding, predicting and scheduling serverless workloads under partial interference","Accelerating Extra Dimensional Page Walks for Confidential
Computing",Ilúvatar: A Fast Control Plane for Serverless Computing,,,,
